python Trainer.py --DR LAB4_dataset --save_root ./modify --fast_train --kl_anneal_ratio 0
python Tester.py --DR LAB4_dataset --save_root ./modify/epoch=67 --ckpt_path modify/epoch=67.ckpt

Epoch: 0, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 0.0, cycle: 10, percent: 0.5], lr: 0.001, train_loss: 0.06377211030594979 valid_loss: 35.091018339735456
Epoch: 1, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 0.0, cycle: 10, percent: 0.5], lr: 0.001, train_loss: 0.0037323925369068317 valid_loss: 7.390214951476082
Epoch: 2, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 0.2, cycle: 10, percent: 0.5], lr: 0.0001, train_loss: 6931.015126855406 valid_loss: 8.690820788033307
Epoch: 3, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 0.4, cycle: 10, percent: 0.5], lr: 0.0001, train_loss: 20.292856389529085 valid_loss: 4.81310796411708
Epoch: 4, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 0.6000000000000001, cycle: 10, percent: 0.5], lr: 0.0001, train_loss: 8.269935751614506 valid_loss: 4.482270100619644
Epoch: 5, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 0.8, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 5.062473896431596 valid_loss: 4.513495953637175
Epoch: 6, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 4.7135598512545025 valid_loss: 4.996009255992249
Epoch: 7, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 3.8062997403210157 valid_loss: 6.759384701377712
Epoch: 8, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 2.861054259351112 valid_loss: 22.166045824473258
Epoch: 9, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 1.9593876603527043 valid_loss: 50.780023326922674
Epoch: 10, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Cyclical, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 1.4110369908989047 valid_loss: 52.46444612680352
Epoch: 11, batch_size: 2, [TeacherForcing: True, 0.9], [anneal_type: Cyclical, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 1.0580356028924724 valid_loss: 47.221519102109596
Epoch: 12, batch_size: 2, [TeacherForcing: True, 0.8], [anneal_type: Cyclical, beta: 0.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 0.00629553583829005 valid_loss: 10.781076177430805
