python Trainer.py --DR LAB4_dataset --save_root ./origin --fast_train --kl_anneal_type Monotonic  --kl_anneal_ratio 0
python Tester.py --DR LAB4_dataset --save_root ./origin --ckpt_path origin/epoch=76.ckpt
Epoch: 0, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.0], lr: 0.001, train_loss: 0.371222653585703 valid_loss: 7.790889064781368
Epoch: 1, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.0], lr: 0.001, train_loss: 0.004405623857128874 valid_loss: 7.784352534450591
Epoch: 2, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.1], lr: 0.0001, train_loss: 1791.105890126261 valid_loss: 5.082753124181181
Epoch: 3, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.2], lr: 0.0001, train_loss: 2.611918042375617 valid_loss: 5.224388329312205
Epoch: 4, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.3], lr: 0.0001, train_loss: 1.0777517871497428 valid_loss: 30.235927448724397
Epoch: 5, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.4], lr: 1e-05, train_loss: 0.5820119954543571 valid_loss: 41.98400453431532
Epoch: 6, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.5], lr: 1e-05, train_loss: 0.553926119249161 valid_loss: 44.000033808872104
Epoch: 7, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.6], lr: 1e-05, train_loss: 0.5475681232262964 valid_loss: 30.856016117846593
Epoch: 8, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.7], lr: 1e-05, train_loss: 0.5229333490337131 valid_loss: 57.46880656958092
Epoch: 9, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.8], lr: 1e-05, train_loss: 0.44442519708632117 valid_loss: 29.45079977772548
Epoch: 10, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Monotonic, beta: 0.9], lr: 1e-05, train_loss: 0.3889796841079331 valid_loss: 14.916606628044974
Epoch: 11, batch_size: 2, [TeacherForcing: True, 0.9], [anneal_type: Monotonic, beta: 0.9], lr: 1e-05, train_loss: 0.31420549638212625 valid_loss: 16.523959177429788
Epoch: 12, batch_size: 2, [TeacherForcing: True, 0.8], [anneal_type: Monotonic, beta: 0.9], lr: 1e-05, train_loss: 0.260500750956718 valid_loss: 10.211256270384183
Epoch: 13, batch_size: 2, [TeacherForcing: True, 0.7], [anneal_type: Monotonic, beta: 0.9], lr: 1e-05, train_loss: 0.22188997986215572 valid_loss: 4.87288344791159
Epoch: 14, batch_size: 2, [TeacherForcing: False, 0.6], [anneal_type: Monotonic, beta: 0.9], lr: 1e-05, train_loss: 0.22450347175431806 valid_loss: 3.8053194284439087
Epoch: 15, batch_size: 2, [TeacherForcing: True, 0.5], [anneal_type: Monotonic, beta: 0.9], lr: 1e-05, train_loss: 0.1707371759308673 valid_loss: 6.250070646987297
Epoch: 16, batch_size: 2, [TeacherForcing: False, 0.4], [anneal_type: Monotonic, beta: 0.9], lr: 1e-05, train_loss: 0.18317240988262376 valid_loss: 4.319782931823283
Epoch: 17, batch_size: 2, [TeacherForcing: False, 0.3], [anneal_type: Monotonic, beta: 0.9], lr: 1e-05, train_loss: 0.16307851456095518 valid_loss: 3.7946989563643
Epoch: 18, batch_size: 2, [TeacherForcing: False, 0.2], [anneal_type: Monotonic, beta: 0.9], lr: 1e-05, train_loss: 0.1478561882933579 valid_loss: 3.942665402428247
