python Trainer.py --DR LAB4_dataset --save_root ./modify2/ --fast_train --kl_anneal_ratio 1 --kl_anneal_type Without
python Tester.py --DR LAB4_dataset --save_root ./modify2/epoch55 --ckpt_path modify2/epoch=55.ckpt
python Tester.py --DR LAB4_dataset --save_root ./modify2/epoch70 --ckpt_path modify2/epoch=70.ckpt

71
python Tester.py --DR LAB4_dataset --save_root ./modify2/epoch62 --ckpt_path modify2/epoch=62.ckpt



Epoch: 0, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 0.001, train_loss: 897.2401889805516 valid_loss: 24.412036022346
Epoch: 1, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 0.001, train_loss: 0.6113282604882978 valid_loss: 22.951796729961643
Epoch: 2, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 0.0001, train_loss: 0.06149371742742927 valid_loss: 6.7357628617901355
Epoch: 3, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 0.0001, train_loss: 0.03687289079702268 valid_loss: 5.320003307409934
Epoch: 4, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 0.0001, train_loss: 0.027229677758192364 valid_loss: 13.38775717428507
Epoch: 5, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 0.020532780218461198 valid_loss: 5.16230197052937
Epoch: 6, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 0.018570386769556222 valid_loss: 4.920543795822596
Epoch: 7, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 0.017061313572786237 valid_loss: 5.280496464998578
Epoch: 8, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 0.016355664168628475 valid_loss: 20.817890897378675
Epoch: 9, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 0.013812992472084375 valid_loss: 20.244526680871786
Epoch: 10, batch_size: 2, [TeacherForcing: True, 1.0], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 0.01196882393333434 valid_loss: 15.646343739150325
Epoch: 11, batch_size: 2, [TeacherForcing: True, 0.9], [anneal_type: Without, beta: 1.0, cycle: 10, percent: 0.5], lr: 1e-05, train_loss: 0.010608720414788957 valid_loss: 22.843508975638542
